4,8,361,300
4,7,221,124
4,17,124,9
1,7,179,177
0,7,177,154
1,8,154,90
1,7,90,32
3,18,225,89
3,20,347,225
5,20,89,18
3,11,398,336
3,11,336,294
4,6,294,253
0,1,253,230
1,7,230,170
5,11,170,19
1,10,376,332
1,11,332,288
2,9,288,227
4,6,227,149
2,8,374,312
3,10,312,230
3,8,230,170
4,12,170,52
3,6,387,326
3,6,326,245
4,12,245,126
4,20,126,11
3,15,318,277
3,6,277,238
5,6,238,215
1,6,215,193
3,10,193,150
3,6,150,110
3,7,110,30
0,9,389,386
0,7,386,364
4,8,364,304
5,9,304,188
5,18,188,52
2,14,389,287
4,11,287,189
6,13,189,137
2,8,379,316
2,12,316,192
3,16,192,91
1,9,309,246
4,11,246,146
3,11,342,281
3,8,281,220
5,10,220,102
3,11,344,285
5,13,285,165
4,13,165,108
2,13,352,289
3,21,185,27
2,21,352,308
2,9,289,185
2,9,308,226
4,8,146,108
7,9,108,95
3,7,300,221
5,13,146,31
1,16,396,352
3,12,226,146
